Agriculture
Appropriations
Armed Services
Assistant Democratic Leader
Budget
Democratic Leader
Democratic Whip
Education and the Workforce
Energy and Commerce
Ethics
Financial Services
Foreign Affairs
Homeland Security
House Administration
Judiciary
Majority Leader
Majority Whip
Natural Resources
Oversight and Government Reform
Permanent Select Committee on Intelligence
Rules
"Science, Space, and Technology"
Select Committee on the Events Surrounding the 2012 Terrorist Attack in Benghazi
Select Investigative Panel of the Committee on Energy and Commerce
Small Business
The Speaker
Transportation and Infrastructure
Veterans' Affairs
Ways and Means
