Select Committee on Intelligence
Committee on Appropriations
Select Committee on Ethics
"Committee on Commerce, Science, and Transportation"
Joint Economic Committee
Committee on Environment and Public Works
Committee on the Budget
Committee on the Judiciary
Committee on Homeland Security and Governmental Affairs
Joint Committee on the Library
Committee on Finance
Committee on Veterans' Affairs
Special Committee on Aging
Commission on Security and Cooperation in Europe
"Committee on Agriculture, Nutrition, and Forestry"
Joint Committee on Printing
Committee on Small Business and Entrepreneurship
"Committee on Health, Education, Labor, and Pensions"
Committee on Indian Affairs
Committee on Armed Services
"Committee on Banking, Housing, and Urban Affairs"
Joint Committee on Taxation
Committee on Energy and Natural Resources
Committee on Rules and Administration
United States Senate Caucus on International Narcotics Control
Committee on Foreign Relations
